start_time,end_time,category,selected_image,jitter_var,correct,target,distractor
182.471,183.143,1,0,"[(1.06, 5), (1.06, 0), (1.07, -5), (1.0, -5)]",True,img4,img6
183.713,184.628,1,1,"[(0.99, 10), (1.02, 10), (1.0, 5), (0.93, -5)]",False,img4,img5
186.187,186.957,5,3,"[(0.99, -5), (1.08, 5), (1.04, 5), (0.96, -10)]",True,img9,img7
187.511,188.002,4,3,"[(0.94, -5), (1.07, -10), (0.94, -10), (1.04, -5)]",True,img3,img9
188.573,189.124,5,3,"[(0.97, 0), (0.98, 5), (0.96, -10), (1.04, 10)]",True,img8,img4
189.665,190.175,1,1,"[(0.91, -5), (0.97, 0), (0.99, 0), (0.91, -5)]",True,img3,img9
190.725,191.375,1,1,"[(0.9, 10), (1.04, -10), (0.98, -10), (0.94, 10)]",False,img5,img2
192.935,193.489,2,3,"[(0.97, -5), (1.1, -5), (1.04, -10), (0.96, -10)]",False,img7,img9
195.039,195.692,2,3,"[(1.01, -5), (1.0, 10), (1.08, 10), (0.94, 5)]",False,img5,img3
197.262,198.195,4,2,"[(1.03, -10), (1.07, -10), (0.97, 10), (1.09, 5)]",True,img4,img2
198.761,199.465,4,2,"[(1.03, 0), (1.02, -10), (1.05, -5), (1.06, 10)]",True,img7,img6
200.051,200.762,1,3,"[(1.08, 5), (0.98, 0), (0.94, -5), (1.09, -10)]",False,img8,img7
202.34,203.067,4,3,"[(0.94, 0), (0.98, 0), (1.06, -5), (1.01, 5)]",False,img2,img6
205.61,206.183,5,1,"[(0.95, 5), (0.99, -10), (0.91, -10), (1.05, 10)]",True,img7,img6
206.737,207.338,4,2,"[(1.05, -10), (0.98, 0), (1.05, -5), (0.97, 0)]",False,img1,img2
208.889,209.46,4,1,"[(0.97, 5), (0.96, 5), (0.91, -5), (0.97, -5)]",False,img3,img1
211.016,211.626,4,0,"[(0.91, 0), (1.04, -5), (0.99, 5), (1.09, 10)]",False,img5,img7
213.173,213.437,5,3,"[(0.94, -5), (1.06, -5), (0.93, -5), (1.03, 5)]",False,img7,img9
214.983,215.457,2,1,"[(0.97, 0), (1.07, 10), (0.98, 5), (0.94, 5)]",False,img4,img5
217.003,217.691,2,1,"[(1.08, 0), (0.9, 10), (0.97, 0), (0.93, -10)]",False,img1,img5
219.288,219.958,4,3,"[(1.02, 10), (1.04, 5), (1.0, -10), (0.94, 0)]",False,img6,img4
221.515,222.134,5,1,"[(0.95, 5), (0.95, -5), (0.98, -5), (1.03, 0)]",True,img2,img5
224.689,225.21,1,1,"[(1.04, -5), (1.05, 0), (0.97, -10), (1.08, 10)]",False,img6,img10
226.77,227.67,1,0,"[(1.05, 10), (1.05, 5), (1.09, -5), (0.95, 10)]",True,img5,img9
228.215,228.904,4,0,"[(1.02, 10), (1.07, -5), (0.99, 5), (1.09, 0)]",True,img7,img5
229.898,230.637,2,2,"[(0.94, 5), (1.08, -10), (0.91, -10), (1.1, 5)]",True,img6,img3
231.204,231.879,1,0,"[(1.05, 10), (1.05, 5), (1.1, 0), (0.99, 5)]",True,img1,img4
232.442,233.325,5,1,"[(1.01, 5), (1.02, -5), (1.01, -10), (1.09, 5)]",True,img5,img4
235.427,236.235,2,0,"[(0.94, -10), (1.05, -10), (1.05, 0), (1.04, 10)]",True,img5,img4
237.256,237.815,5,0,"[(0.97, 5), (0.96, -10), (0.98, 10), (0.92, 0)]",True,img5,img6
238.61,239.403,2,0,"[(0.93, 5), (0.98, 10), (0.91, -5), (0.98, 0)]",True,img2,img7
239.959,241.081,1,0,"[(1.09, 0), (1.02, 0), (1.0, 5), (1.03, 5)]",True,img10,img6
241.626,242.23,4,2,"[(1.03, -5), (1.1, 5), (0.93, 5), (0.9, 10)]",True,img7,img10
242.792,243.391,5,2,"[(1.06, 10), (1.02, -10), (1.05, -10), (0.94, 0)]",True,img9,img8
243.93,244.543,5,2,"[(1.06, 10), (1.01, 0), (1.03, 10), (1.06, 5)]",True,img2,img7
245.092,245.758,2,2,"[(0.94, 10), (1.01, 0), (1.09, 5), (1.07, 5)]",True,img1,img2
246.308,246.868,4,3,"[(1.09, 10), (1.02, 5), (0.96, -10), (0.98, 5)]",True,img7,img3
247.431,247.939,5,3,"[(1.05, -10), (0.96, -5), (1.04, -10), (1.09, 0)]",True,img2,img10
248.51,249.078,2,0,"[(0.91, -5), (0.94, 10), (1.05, 5), (1.07, -5)]",False,img9,img4
250.624,251.173,1,1,"[(1.07, 5), (0.92, -10), (0.92, 5), (0.99, 0)]",True,img8,img4
251.712,252.454,2,2,"[(0.92, -10), (1.03, 5), (0.97, 5), (0.99, 0)]",True,img9,img8
253.024,253.608,4,1,"[(1.06, 5), (1.0, 10), (1.07, -5), (1.08, 10)]",False,img7,img1
255.159,255.719,2,1,"[(0.94, -10), (0.95, -5), (1.09, 0), (1.01, -5)]",False,img5,img10
257.27,258.074,5,1,"[(0.9, 10), (1.06, 0), (1.02, 5), (0.98, 10)]",True,img5,img7
258.618,259.861,4,1,"[(0.98, 10), (0.9, 10), (0.96, -5), (1.07, 0)]",True,img8,img7
260.94,261.68,2,1,"[(0.96, -5), (1.08, -5), (1.06, 10), (0.93, -5)]",True,img9,img7
262.241,262.813,2,1,"[(0.97, 5), (1.01, -5), (1.08, -10), (0.91, -10)]",False,img6,img8
264.382,264.996,5,2,"[(0.94, 0), (1.09, 0), (1.09, 5), (1.01, 10)]",True,img9,img1
265.57,266.129,1,1,"[(1.0, 5), (1.01, -10), (0.93, -10), (1.09, 10)]",True,img2,img6
266.688,267.255,1,1,"[(1.06, 5), (0.98, 0), (0.9, 10), (1.03, -10)]",True,img2,img3
267.813,268.76,2,0,"[(1.0, 0), (1.06, -10), (1.04, -5), (0.9, -5)]",True,img4,img3
269.293,270.026,1,1,"[(1.04, 5), (0.91, 5), (1.0, 5), (1.07, -5)]",True,img1,img5
270.574,271.101,5,0,"[(1.07, -5), (0.94, -5), (1.03, -5), (1.0, 0)]",True,img2,img9
272.095,272.887,2,3,"[(1.02, 5), (1.08, 0), (0.91, 10), (0.99, 5)]",True,img6,img4
273.443,274.276,2,1,"[(0.91, 0), (0.92, -5), (0.95, 10), (0.98, 10)]",True,img2,img6
274.848,275.5,1,2,"[(1.05, -10), (1.03, -5), (1.08, -10), (1.08, 0)]",True,img6,img7
276.057,276.637,5,3,"[(0.99, 0), (1.03, 5), (0.95, 10), (0.93, 5)]",True,img7,img10
277.192,277.655,4,1,"[(1.0, -10), (1.05, 10), (0.93, 10), (0.95, -10)]",False,img3,img8
279.207,279.844,1,1,"[(1.0, -10), (1.09, 0), (0.97, -10), (0.98, 0)]",False,img1,img6
281.393,281.941,4,0,"[(1.08, 5), (1.0, 5), (1.06, 5), (1.08, 0)]",True,img8,img10
282.533,283.37,4,3,"[(0.97, 5), (0.95, 0), (0.94, 10), (1.03, 5)]",True,img5,img2
283.938,284.742,2,2,"[(1.08, -10), (1.04, 5), (1.09, -10), (0.96, 0)]",True,img8,img5
285.297,285.732,5,1,"[(1.01, 0), (1.07, 0), (1.08, 10), (1.03, 5)]",True,img4,img10
286.287,287.057,4,2,"[(0.98, 5), (1.07, 5), (0.92, 10), (0.95, -5)]",True,img4,img9
287.606,288.273,2,0,"[(0.96, 0), (0.99, -5), (0.99, 0), (1.0, -5)]",False,img6,img2
289.82,290.479,1,1,"[(1.07, 10), (1.03, 10), (1.1, 10), (1.05, -5)]",True,img4,img2
291.541,292.605,1,3,"[(0.95, 5), (0.91, -5), (1.05, -5), (1.07, -10)]",False,img10,img7
294.154,294.74,1,2,"[(1.0, 10), (1.07, 5), (0.98, -5), (0.92, 5)]",False,img7,img9
296.311,296.837,5,1,"[(1.08, 5), (1.0, 10), (0.93, 10), (1.07, -5)]",True,img3,img6
300.347,300.78,1,1,"[(1.05, -10), (1.04, 5), (0.99, 5), (1.04, 5)]",False,img9,img10
302.33,302.85,5,1,"[(1.06, 5), (1.1, -10), (1.09, 10), (1.04, 5)]",True,img1,img6
303.428,304.03,5,0,"[(1.09, 10), (0.98, 10), (1.05, 10), (0.97, 0)]",False,img6,img7
305.587,306.219,1,1,"[(1.1, 5), (0.91, -10), (1.08, -10), (1.02, -10)]",True,img3,img5
306.787,307.394,5,0,"[(1.05, 0), (0.97, 10), (1.03, 10), (1.07, -10)]",True,img3,img9
308.524,309.044,4,0,"[(1.06, 0), (0.94, 10), (0.9, -10), (0.94, 10)]",True,img8,img1
309.788,310.371,4,0,"[(1.0, -5), (0.94, -5), (1.03, -5), (0.93, 5)]",True,img3,img7
310.924,311.759,5,3,"[(0.99, 0), (0.96, -5), (0.96, -5), (0.94, 10)]",True,img8,img7
312.315,312.92,2,1,"[(0.94, -10), (0.95, 10), (0.93, 5), (0.91, -10)]",True,img4,img6
313.496,314.637,1,0,"[(1.06, 0), (1.09, 5), (1.09, 0), (1.06, 0)]",True,img10,img9
316.907,317.721,2,1,"[(0.91, 5), (1.02, -10), (1.08, -10), (0.93, 10)]",True,img7,img3
318.688,319.368,1,2,"[(0.9, 10), (1.06, -10), (1.03, 0), (0.91, 0)]",False,img8,img10
320.921,321.228,1,0,"[(1.02, -10), (1.07, 0), (0.92, -10), (1.02, -5)]",False,img6,img1
322.824,323.673,4,2,"[(0.98, 0), (0.99, -5), (1.0, -5), (1.01, 10)]",True,img5,img9
324.351,325.264,2,2,"[(1.1, -5), (0.95, 10), (0.95, 10), (0.92, -5)]",True,img2,img3
325.815,326.806,4,2,"[(1.02, 0), (1.1, -5), (0.92, 0), (0.98, -5)]",False,img9,img4
